,layer_name,sample_id,num_of_injection,misclassifications,experiment
0,classes_conv2d_3,0,100,14,FaultInjection
1,classes_conv2d_4,0,100,7,FaultInjection
2,classes_conv2d_5,0,100,11,FaultInjection
3,classes_conv2d_6,0,100,3,FaultInjection
4,classes_conv2d_7,0,100,16,FaultInjection
5,classes_conv2d_8,0,100,10,FaultInjection
6,classes_conv2d_9,0,100,5,FaultInjection
7,classes_conv2d_10,0,100,10,FaultInjection
8,classes_conv2d_11,0,100,14,FaultInjection
9,classes_conv2d_12,0,100,7,FaultInjection
10,classes_conv2d_13,0,100,16,FaultInjection
11,classes_conv2d_14,0,100,17,FaultInjection
12,classes_conv2d_15,0,100,3,FaultInjection
0,classes_conv2d_3,0,100,0,Ranger_Clipping_Value
1,classes_conv2d_4,0,100,0,Ranger_Clipping_Value
2,classes_conv2d_5,0,100,0,Ranger_Clipping_Value
3,classes_conv2d_6,0,100,0,Ranger_Clipping_Value
4,classes_conv2d_7,0,100,0,Ranger_Clipping_Value
5,classes_conv2d_8,0,100,0,Ranger_Clipping_Value
6,classes_conv2d_9,0,100,0,Ranger_Clipping_Value
7,classes_conv2d_10,0,100,0,Ranger_Clipping_Value
8,classes_conv2d_11,0,100,0,Ranger_Clipping_Value
9,classes_conv2d_12,0,100,0,Ranger_Clipping_Value
10,classes_conv2d_13,0,100,0,Ranger_Clipping_Value
11,classes_conv2d_14,0,100,0,Ranger_Clipping_Value
12,classes_conv2d_15,0,100,0,Ranger_Clipping_Value
