Layer_name,Not_equal_num_boxes
batch_normalization,0.57776
batch_normalization_1,0.63872
batch_normalization_2,0.22976
batch_normalization_3,0.39584
batch_normalization_4,0.48336
batch_normalization_5,0.58928
batch_normalization_6,0.32608
batch_normalization_7,0.38944
batch_normalization_8,0.26336
batch_normalization_9,0.38224
batch_normalization_25,0.18416
batch_normalization_42,0.1352
batch_normalization_56,0.14064
batch_normalization_71,0.04784
conv2d,0.6776
conv2d_1,0.53264
conv2d_2,0.29808
conv2d_3,0.34576
conv2d_4,0.33584
conv2d_5,0.13808
conv2d_6,0.26064
conv2d_7,0.28704
conv2d_8,0.27296
conv2d_9,0.2752
conv2d_25,0.17152
conv2d_42,0.16336
conv2d_56,0.07088
conv2d_71,0.057662337662337665
