,layer_name,sample_id,num_of_injection,misclassifications,experiment
0,classes_block1_conv1,1,100,0,FaultInjection
1,classes_block1_conv1,2,100,100,FaultInjection
2,classes_block1_conv1,3,100,100,FaultInjection
3,classes_block1_conv1,4,100,100,FaultInjection
4,classes_block1_conv1,5,100,0,FaultInjection
5,classes_block1_conv1,6,100,100,FaultInjection
6,classes_block1_conv2,1,100,0,FaultInjection
7,classes_block1_conv2,2,100,100,FaultInjection
8,classes_block1_conv2,3,100,100,FaultInjection
9,classes_block1_conv2,4,100,100,FaultInjection
10,classes_block1_conv2,5,100,0,FaultInjection
11,classes_block1_conv2,6,100,100,FaultInjection
12,classes_block2_conv1,1,100,0,FaultInjection
13,classes_block2_conv1,2,100,100,FaultInjection
14,classes_block2_conv1,3,100,100,FaultInjection
15,classes_block2_conv1,4,100,100,FaultInjection
16,classes_block2_conv1,5,100,0,FaultInjection
17,classes_block2_conv1,6,100,100,FaultInjection
18,classes_block2_conv2,1,100,0,FaultInjection
19,classes_block2_conv2,2,100,100,FaultInjection
20,classes_block2_conv2,3,100,100,FaultInjection
21,classes_block2_conv2,4,100,100,FaultInjection
22,classes_block2_conv2,5,100,0,FaultInjection
23,classes_block2_conv2,6,100,100,FaultInjection
24,classes_block3_conv1,1,100,0,FaultInjection
25,classes_block3_conv1,2,100,100,FaultInjection
26,classes_block3_conv1,3,100,100,FaultInjection
27,classes_block3_conv1,4,100,100,FaultInjection
28,classes_block3_conv1,5,100,0,FaultInjection
29,classes_block3_conv1,6,100,100,FaultInjection
30,classes_block3_conv2,1,100,0,FaultInjection
31,classes_block3_conv2,2,100,100,FaultInjection
32,classes_block3_conv2,3,100,100,FaultInjection
33,classes_block3_conv2,4,100,100,FaultInjection
34,classes_block3_conv2,5,100,0,FaultInjection
35,classes_block3_conv2,6,100,100,FaultInjection
36,classes_block3_conv3,1,100,0,FaultInjection
37,classes_block3_conv3,2,100,100,FaultInjection
38,classes_block3_conv3,3,100,100,FaultInjection
39,classes_block3_conv3,4,100,100,FaultInjection
40,classes_block3_conv3,5,100,0,FaultInjection
41,classes_block3_conv3,6,100,100,FaultInjection
42,classes_block4_conv1,1,100,0,FaultInjection
43,classes_block4_conv1,2,100,100,FaultInjection
44,classes_block4_conv1,3,100,100,FaultInjection
45,classes_block4_conv1,4,100,100,FaultInjection
46,classes_block4_conv1,5,100,0,FaultInjection
47,classes_block4_conv1,6,100,100,FaultInjection
48,classes_block4_conv2,1,100,0,FaultInjection
49,classes_block4_conv2,2,100,100,FaultInjection
50,classes_block4_conv2,3,100,100,FaultInjection
51,classes_block4_conv2,4,100,100,FaultInjection
52,classes_block4_conv2,5,100,0,FaultInjection
53,classes_block4_conv2,6,100,100,FaultInjection
54,classes_block4_conv3,1,100,0,FaultInjection
55,classes_block4_conv3,2,100,100,FaultInjection
56,classes_block4_conv3,3,100,100,FaultInjection
57,classes_block4_conv3,4,100,100,FaultInjection
58,classes_block4_conv3,5,100,0,FaultInjection
59,classes_block4_conv3,6,100,100,FaultInjection
60,classes_block5_conv1,1,100,0,FaultInjection
61,classes_block5_conv1,2,100,100,FaultInjection
62,classes_block5_conv1,3,100,100,FaultInjection
63,classes_block5_conv1,4,100,100,FaultInjection
